"","ensembl_gene_id","hgnc_symbol","entrezgene"
"470","ENSG00000282843","",NA
"471","ENSG00000283040","",NA
"472","ENSG00000283356","",NA
"473","ENSG00000283572","MIR4251",100422968
"474","ENSG00000283611","",NA
"475","ENSG00000283712","MIR6727",102465435
"476","ENSG00000283773","",NA
"477","ENSG00000283789","MIR7846",102465836
"478","ENSG00000284357","MIR34A",407040
"479","ENSG00000284616","",NA
"480","ENSG00000284642","",NA
"481","ENSG00000284646","",NA
"482","ENSG00000284652","",NA
"483","ENSG00000284653","",NA
"484","ENSG00000284666","",NA
"485","ENSG00000284668","",105376673
"486","ENSG00000284674","",105376680
"487","ENSG00000284692","",NA
"488","ENSG00000284693","",100506022
"489","ENSG00000284694","",NA
"490","ENSG00000284703","",NA
"491","ENSG00000284708","",NA
"492","ENSG00000284716","",NA
"493","ENSG00000284735","",NA
"494","ENSG00000284739","",NA
"495","ENSG00000284740","",NA
"496","ENSG00000284744","",NA
"497","ENSG00000284745","",NA
"498","ENSG00000284747","",NA
"499","ENSG00000000938","FGR",2268
"500","ENSG00000001460","STPG1",90529
"501","ENSG00000001461","NIPAL3",57185
"502","ENSG00000004455","AK2",204
"503","ENSG00000004487","KDM1A",23028
"504","ENSG00000007968","E2F2",1870
"505","ENSG00000009709","PAX7",5081
"506","ENSG00000009780","FAM76A",199870
"507","ENSG00000011007","ELOA",6924
"508","ENSG00000011009","LYPLA2",11313
"509","ENSG00000020129","NCDN",23154
"510","ENSG00000020633","RUNX3",864
"511","ENSG00000025800","KPNA6",23633
"512","ENSG00000040487","PQLC2",54896
"513","ENSG00000053371","AKR7A2",8574
"514","ENSG00000053372","MRTO4",51154
"515","ENSG00000054116","TRAPPC3",27095
"516","ENSG00000054118","THRAP3",9967
"517","ENSG00000057757","PITHD1",57095
"518","ENSG00000060642","PIGV",55650
"519","ENSG00000060656","PTPRU",10076
"520","ENSG00000060688","SNRNP40",9410
"521","ENSG00000070831","CDC42",998
"522","ENSG00000070886","EPHA8",2046
"523","ENSG00000075151","EIF4G3",8672
"524","ENSG00000076864","RAP1GAP",5909
"525","ENSG00000077549","CAPZB",832
"526","ENSG00000084623","EIF3I",8668
"527","ENSG00000084628","NKAIN1",79570
"528","ENSG00000084636","COL16A1",1307
"529","ENSG00000084652","TXLNA",200081
"530","ENSG00000088280","ASAP3",55616
"531","ENSG00000090020","SLC9A1",6548
"532","ENSG00000090273","NUDC",10726
"533","ENSG00000090432","MUL1",79594
"534","ENSG00000090686","USP48",84196
"535","ENSG00000092847","AGO1",26523
"536","ENSG00000092850","TEKT2",27285
"537","ENSG00000092853","CLSPN",63967
"538","ENSG00000116329","OPRD1",4985
"539","ENSG00000116350","SRSF4",6429
"540","ENSG00000116353","MECR",51102
"541","ENSG00000116478","HDAC1",3065
"542","ENSG00000116497","S100PBP",64766
"543","ENSG00000116514","RNF19B",127544
"544","ENSG00000116525","TRIM62",55223
"545","ENSG00000116544","DLGAP3",58512
"546","ENSG00000116560","SFPQ",6421
"547","ENSG00000116819","TFAP2E",339488
"548","ENSG00000116863","ADPRHL2",54936
"549","ENSG00000116871","MAP7D1",55700
"550","ENSG00000116883","",NA
"551","ENSG00000116885","OSCP1",127700
"552","ENSG00000116898","MRPS15",64960
"553","ENSG00000117215","PLA2G2D",26279
"554","ENSG00000117242","PINK1-AS",100861548
"555","ENSG00000117245","KIF17",57576
"556","ENSG00000117298","ECE1",1889
"557","ENSG00000117305","HMGCL",3155
"558","ENSG00000117308","GALE",2582
"559","ENSG00000117318","ID3",3399
"560","ENSG00000117602","RCAN3",11123
"561","ENSG00000117614","SYF2",25949
"562","ENSG00000117616","RSRP1",57035
"563","ENSG00000117632","STMN1",3925
"564","ENSG00000117640","MTFR1L",56181
"565","ENSG00000117643","MAN1C1",57134
"566","ENSG00000117676","RPS6KA1",6195
"567","ENSG00000117682","DHDDS",79947
"568","ENSG00000117713","ARID1A",8289
"569","ENSG00000117748","RPA2",6118
"570","ENSG00000117751","PPP1R8",5511
"571","ENSG00000117758","STX12",23673
"572","ENSG00000119535","CSF3R",1441
"573","ENSG00000120656","TAF12",6883
"574","ENSG00000121753","ADGRB2",576
"575","ENSG00000121764","HCRTR1",3061
"576","ENSG00000121766","ZCCHC17",51538
"577","ENSG00000121769","FABP3",2170
"578","ENSG00000121774","KHDRBS1",10657
"579","ENSG00000121775","TMEM39B",55116
"580","ENSG00000121900","TMEM54",113452
"581","ENSG00000121903","ZSCAN20",7579
"582","ENSG00000121904","CSMD2",114784
"583","ENSG00000121905","HPCA",3208
"584","ENSG00000125944","HNRNPR",10236
"585","ENSG00000125945","ZNF436",80818
"586","ENSG00000126067","PSMB2",5690
"587","ENSG00000126070","AGO3",192669
"588","ENSG00000126698","DNAJC8",22826
"589","ENSG00000126705","AHDC1",27245
"590","ENSG00000126709","IFI6",2537
"591","ENSG00000127423","AUNIP",79000
"592","ENSG00000127463","EMC1",23065
"593","ENSG00000127472","PLA2G5",5322
"594","ENSG00000127481","UBR4",23352
"595","ENSG00000127483","HP1BP3",50809
"596","ENSG00000130695","CEP85",64793
"597","ENSG00000130766","SESN2",83667
"598","ENSG00000130768","SMPDL3B",27293
"599","ENSG00000130770","ATPIF1",93974
"600","ENSG00000130772","MED18",54797
"601","ENSG00000130775","THEMIS2",9473
"602","ENSG00000131910","NR0B2",8431
"603","ENSG00000131914","LIN28A",79727
"604","ENSG00000133216","EPHB2",2048
"605","ENSG00000133226","SRRM1",10250
"606","ENSG00000134644","PUM1",9698
"607","ENSG00000134668","SPOCD1",90853
"608","ENSG00000134684","YARS",8565
"609","ENSG00000134686","PHC2",1912
